Type+	os+	Type-	os-	R0(A)	b	cn	R_cutoff(A)
Mn	7	O	-2	1.87362	0.52	4	6.5
Mn	7	Ox	-2	1.87362	0.52	4	6.5
Mo	2	Br	-1	2.22218	0.401	5	5.5
Mo	2	Cl	-1	2.05175	0.441	5	5.5
Mo	2	I	-1	2.35705	0.461	5	6
Mo	2	S	-2	2.07169	0.422	5	5.5
Mo	3	Br	-1	2.19147	0.541	6	6
Mo	3	Cl	-1	2.08941	0.501	6	6
Mo	3	F	-1	1.73819	0.427	6	5.5
Mo	3	O	-2	1.78933	0.418	5.7	5.5
Mo	3	Ox	-2	1.78933	0.418	5.7	5.5
Mo	3	S	-2	2.06257	0.519	6	6
Mo	4	Cl	-1	2.1283	0.558	6	6.5
Mo	4	O	-2	1.7239	0.562	6	6.5
Mo	5	O	-2	1.8476	0.482	5.96	5.5
Mo	6	Br	-1	2.3037	0.663	6	6.50 ! RCN estimated
Mo	6	Cl	-1	2.0888	0.622	6	6.50 ! RCN estimated
Mo	6	I	-1	2.6191	0.723	5	7.00 ! RCN estimated
Mo	6	O	-2	1.90934	0.391	4.63	5
Mo	6	Ox	-2	1.90934	0.391	4.63	5
Mo	6	S	-2	2.187	0.641	4	6.50 ! RCN estimated
Mo	6	Se	-2	2.3824	0.672	4	6.50 ! RCN estimated
Mo	6	Te	-2	2.66	0.717	4	6.50 ! RCN estimated
N	3	N	-3	1.72555	0.537	1	6
N	3	O	-2	1.40795	0.448	2	5
N	3	Ox	-2	1.40795	0.448	2	5
N	5	F	-1	1.40717	0.55	4	6
N	5	N	-3	1.6839	0.532	2	6
N	5	O	-2	1.46267	0.45	3	5
N	5	Ox	-2	1.46267	0.45	3	5
Na	1	As	-3	1.93578	0.72	4.89	7.5
Na	1	Br	-1	1.78228	0.641	6	7
Na	1	Cl	-1	1.69489	0.601	6.61905	6.5
Na	1	F	-1	1.42885	0.474	7.14	5.5
Na	1	H	-1	1.44971	0.497	7.6	5.5
Na	1	D	-1	1.44971	0.497	7.6	5.5
Na	1	I	-1	1.94389	0.701	6	7
Na	1	N	-3	1.60725	0.571	5.2	6
Na	1	Nx	-3	1.48216	0.571	6	6
Na	1	O	-2	1.56225	0.482	5.9	6
Na	1	Ox	-2	1.56225	0.482	5.9	6
Na	1	P	-3	1.89576	0.69	4.84375	7
Na	1	S	-2	1.83142	0.619	5.76	6.5
Na	1	Sb	-3	1.98767	0.795	5.1	8
Na	1	Se	-2	1.8988	0.65	5.87	7
Na	1	Te	-2	2.03011	0.695	5.8	7
Nb	2	Te	-2	2.39087	0.448	6	6
Nb	3	O	-2	1.74581	0.501	6	6
Nb	3	Ox	-2	1.74581	0.501	6	6
Nb	4	F	-1	1.75844	0.534	6	6
Nb	4	O	-2	1.78543	0.526	6	6
Nb	4	Ox	-2	1.78543	0.526	6	6
Nb	4	S	-2	2.28012	0.412	5.75	5.5
Nb	5	As	-3	2.66476	0.64	4	7
Nb	5	Cl	-1	2.20986	0.616	6	6.5
Nb	5	F	-1	1.76034	0.489	6	5.5
Nb	5	N	-3	2.02884	0.48	4.4	6
Nb	5	O	-2	1.86588	0.498	6.04375	5.5
Nb	5	Ox	-2	1.86588	0.498	6.04375	5.5
Nb	5	S	-2	2.396306	0.64	4	7
Nd	3	F	-1	1.91099	0.437	10	5.5
Nd	3	O	-2	2.02425	0.428	8.21	5.5
Nd	3	Ox	-2	2.02425	0.428	8.21	5.5
Nd	3	S	-2	2.44624	0.51	7.7	6
Nh	1	Br	-1	2.2328	0.601	9.69231	6.5
Nh	1	Cl	-1	2.15362	0.561	9.42	6.5
Nh	1	F	-1	1.97933	0.434	10.1	5.5
Nh	1	I	-1	2.40576	0.661	6.90909	7
Nh	1	O	-2	2.0338	0.442	9.59	6
Nh	1	Ox	-2	2.0338	0.442	9.59	6
Nh	1	S	-2	2.24264	0.579	8.18	7
Nh	1	Se	-2	2.348	0.61	8	7.00 ! RCN estimated
Nh	1	Te	-2	2.481	0.655	7.5	7.50 ! RCN estimated
Ni	2	Br	-1	1.96729	0.516	6	6
Ni	2	Cl	-1	1.87666	0.476	6	5.5
Ni	2	F	-1	1.49625	0.452	6	5
Ni	2	O	-2	1.55919	0.443	5.93333	5.5
Ni	2	Ox	-2	1.55919	0.443	5.93333	5.5
Ni	2	P	-3	2.0689	0.323	4	6.5
Ni	2	S	-2	1.85695	0.494	4.7	5.5
Ni	2	Se	-2	1.89863	0.525	5.25	6
Ni	2	Te	-2	2.11175	0.571	4	6.5
Ni	3	F	-1	1.56869	0.423	6	5
Ni	3	O	-2	1.64888	0.414	6	5.5
Ni	3	Ox	-2	1.64888	0.414	6	5.5
Ni	3	S	-2	1.9212	0.523	5	5.5
Ni	4	F	-1	1.61453	0.411	6	5.5
Ni	4	O	-2	1.72159	0.402	6	5
Ni	4	Ox	-2	1.72159	0.402	6	5
Np	4	O	-2	1.94581	0.531	7.33333	6
Np	4	Ox	-2	1.94581	0.531	7.33333	6
Np	5	O	-2	2.03035	0.431	7	5.5
Np	5	Ox	-2	2.03035	0.431	7	5.5
Np	6	O	-2	2.01571	0.5	7	6
Np	6	Ox	-2	2.01571	0.5	7	6
Os	4	Br	-1	2.30615	0.461	6	6
Os	4	Cl	-1	2.15572	0.421	6	6
Os	4	O	-2	1.75302	0.498	6	6
Os	4	Ox	-2	1.75302	0.498	6	6
Os	5	F	-1	1.75815	0.488	6	6
Os	6	O	-2	1.93192	0.463	6	5.5
Os	6	Ox	-2	1.93192	0.463	6	5.5
Os	7	O	-2	1.95775	0.479	6	5.5
Os	7	Ox	-2	1.95775	0.479	6	5.5
Os	8	O	-2	1.97261	0.512	5.4	6
Os	8	Ox	-2	1.97261	0.512	5.4	6
P	3	O	-2	1.51525	0.402	3	4.5
P	3	Ox	-2	1.51525	0.402	3	4.5
P	3	S	-2	1.96089	0.536	3	6
P	4	S	-2	2.14917	0.566	3	6
P	5	Br	-1	2.2105	0.703	4	7.00 ! RCN estimated
P	5	Cl	-1	2.01093	0.662	4	7
P	5	F	-1	1.4761	0.535	6	7
P	5	I	-1	2.49792	0.763	4	7.5
P	5	N	-3	1.73267	0.517	4	6
P	5	O	-2	1.62038	0.437	4	5
P	5	Ox	-2	1.62038	0.437	4	5
P	5	S	-2	2.14917	0.566	4	6
P	5	Se	-2	2.32076	0.6	4	7
P	5	Te	-2	2.58	0.651	4	7.50 ! RCN estimated
Pb	2	Br	-1	2.4316	0.515	7.43	6
Pb	2	Cl	-1	2.34641	0.474	7.33	5.5
Pb	2	F	-1	1.90916	0.453	9.18	6
Pb	2	I	-1	2.56725	0.575	6	7
Pb	2	N	-3	2.09882	0.445	5	6
Pb	2	O	-2	2.01917	0.433	7.51	5.5
Pb	2	Ox	-2	2.01917	0.433	7.51	5.5
Pb	2	S	-2	2.38758	0.493	7.43	6
Pb	2	Se	-2	2.46755	0.524	7.14	6.5
Pb	4	F	-1	1.93428	0.424	6	5.5
Pb	4	O	-2	2.03293	0.354	5.7037	5
Pb	4	Ox	-2	2.03293	0.354	5.7037	5
Pd	1	As	-3	1.81966	0.532	3.6	6.5
Pd	2	As	-3	2.04108	0.639	4	7
Pd	2	Br	-1	2.10183	0.462	4	5.5
Pd	2	Cl	-1	1.99818	0.421	4	5
Pd	2	F	-1	1.56885	0.506	5.17241	5.5
Pd	2	O	-2	1.62359	0.498	4	5.5
Pd	2	Ox	-2	1.62359	0.498	4	5.5
Pd	2	P	-3	1.95285	0.641	4	7
Pd	2	S	-2	2.02559	0.439	4	5.5
Pd	2	Se	-2	2.13444	0.471	4	6
Pd	4	Cl	-1	2.12662	0.47	6	6
Pd	4	F	-1	1.68582	0.457	6	5.5
Pd	4	O	-2	1.805	0.449	5.33333	5.5
Pd	4	Ox	-2	1.805	0.449	5.33333	5.5
Pd	4	Se	-2	2.31115	0.52	6	6.5
Pr	3	Cl	-1	2.48619	0.387	7.4	5.5
Pr	3	F	-1	1.91752	0.448	9	5.5
Pr	3	O	-2	2.03652	0.439	8.83	5.5
Pr	3	Ox	-2	2.03652	0.439	8.83	5.5
Pr	3	S	-2	2.46496	0.499	7.75	6
Pr	3	Se	-2	2.52676	0.529	7.66667	7
Pt	2	Cl	-1	1.97699	0.456	4	5.5
Pt	2	O	-2	1.65767	0.463	4	5.5
Pt	2	Ox	-2	1.65767	0.463	4	5.5
Pt	2	S	-2	2.0245	0.438	4	5.5
Pt	2	Se	-2	2.16525	0.407	4	6
Pt	3	O	-2	1.66559	0.546	5	5.5
Pt	4	Cl	-1	2.1411	0.44	6	6
Pt	4	F	-1	1.69089	0.488	6	5.5
Pt	4	O	-2	1.82198	0.479	6	5.5
Pt	4	Ox	-2	1.82198	0.479	6	5.5
Pt	4	S	-2	2.19999	0.458	6	6
Pt	4	Se	-2	2.30943	0.489	6	6
Pt	5	F	-1	1.78573	0.424	6	5.5
Pu	3	Cl	-1	2.27686	0.548	7.66667	7
Pu	4	O	-2	2.07938	0.363	7.33333	5.5
Pu	4	Ox	-2	2.07938	0.363	7.33333	5.5
Rb	1	As	-3	2.54429	0.65	5.27273	7.5
Rb	1	Br	-1	2.34362	0.572	9.77419	7
Rb	1	Cl	-1	2.26585	0.531	9.73	6.5
Rb	1	F	-1	1.99137	0.404	10.46667	5.5
Rb	1	H	-1	2.05082	0.428	8.8	5.5
Rb	1	D	-1	2.05082	0.428	8.8	5.5
Rb	1	I	-1	2.46445	0.632	9	7
Rb	1	N	-3	2.19221	0.501	8.41667	6
Rb	1	Nx	-3	2.14988	0.501	6.30769	6
Rb	1	O	-2	2.08597	0.413	9.77	6.5
Rb	1	Ox	-2	2.08597	0.413	9.77	6.5
Rb	1	P	-3	2.52921	0.621	5.4	7
Rb	1	S	-2	2.30817	0.55	6.48276	6.5
Rb	1	Se	-2	2.40364	0.58	7.31579	7
Rb	1	Sb	-3	2.69408	0.725	5	8
Rb	1	Te	-2	2.43463	0.626	9.67	7.5
Re	3	Br	-1	2.30419	0.422	4.75	5.5
Re	3	Cl	-1	2.15781	0.42	5	5.5
Re	3	S	-2	2.2071	0.401	5	6
Re	4	Cl	-1	2.18513	0.412	6	5.5
Re	4	O	-2	1.78237	0.507	6	6
Re	4	Ox	-2	1.78237	0.507	6	6
Re	5	O	-2	1.82664	0.479	6	6
Re	5	Ox	-2	1.82664	0.479	6	6
Re	6	O	-2	1.91007	0.498	5.5	6
Re	6	Ox	-2	1.91007	0.498	5.5	6
Re	7	O	-2	1.97792	0.508	4.09756	6
Re	7	Ox	-2	1.97792	0.508	4.09756	6
Rh	3	Cl	-1	2.03722	0.44	6	5
Rh	3	F	-1	1.63692	0.488	6	5.5
Rh	3	O	-2	1.67013	0.478	6	5.5
Rh	3	Ox	-2	1.67013	0.478	6	5.5
Rh	4	F	-1	1.68686	0.406	6	5.5
Rh	4	O	-2	1.77675	0.403	6	5.5
Rh	4	Ox	-2	1.77675	0.403	6	5.5
Ru	3	Cl	-1	1.9952	0.489	6	5.5
Ru	3	O	-2	1.72066	0.43	6	5.5
Ru	3	Ox	-2	1.72066	0.43	6	5.5
Ru	4	O	-2	1.79363	0.449	6	5.5
Ru	4	Ox	-2	1.79363	0.449	6	5.5
Ru	5	F	-1	1.77634	0.445	6	5.5
Ru	5	O	-2	1.87442	0.436	6	5.5
Ru	5	Ox	-2	1.87442	0.436	6	5.5
Ru	6	O	-2	1.92579	0.425	4.5	5.5
Ru	6	Ox	-2	1.92579	0.425	4.5	5.5
S	2	O	-2	1.66916	0.545	3	7.00 ! RCN estimated
S	2	Ox	-2	1.66916	0.545	3	7.00 ! RCN estimated
S	3	N	-3	1.77006	0.432	2	6
S	4	Cl	-1	2.05269	0.545	3	6.5
S	4	N	-3	1.81079	0.515	2	6
S	4	O	-2	1.64282	0.427	3	5.5
S	4	Ox	-2	1.64282	0.427	3	5.5
S	6	F	-1	1.55	0.441	6	5
S	6	O	-2	1.6422	0.441	4	5
S	6	Ox	-2	1.6422	0.441	4	5
S	6	S	-2	2.2	0.571	4	5.50 ! RCN estimated
Sb	3	Br	-1	2.38165	0.537	4.75	7
Sb	3	Cl	-1	2.30831	0.496	4.6	6
Sb	3	F	-1	1.83448	0.431	4.72	5.5
Sb	3	I	-1	2.59905	0.597	6	7.5
Sb	3	O	-2	1.92036	0.423	4.54	5
Sb	3	Ox	-2	1.92036	0.423	4.54	5
Sb	3	S	-2	2.36947	0.515	4.87	6
Sb	3	Se	-2	2.47586	0.546	5.29	6.5
Sb	3	Te	-2	2.73139	0.591	4	7
Sb	5	Cl	-1	2.2232	0.616	6	6.5
Sb	5	F	-1	1.76603	0.489	6	6
Sb	5	O	-2	1.89768	0.4	6	5.5
Sb	5	Ox	-2	1.89768	0.4	6	5.5
Sb	5	S	-2	2.44254	0.52	4	6
Sb	5	Se	-2	2.58978	0.551	4	7
Sb	5	Te	-2	2.5819	0.599	4	7.50 ! RCN estimated
Sc	3	Cl	-1	2.11329	0.612	6	6.5
Sc	3	F	-1	1.65325	0.485	6.16667	6
Sc	3	O	-2	1.7322	0.494	6.2549	5.5
Sc	3	Ox	-2	1.7322	0.494	6.2549	5.5
Sc	3	S	-2	2.0945	0.631	6.04762	7
Se	4	Br	-1	2.32723	0.585	6	7
Se	4	Cl	-1	2.15849	0.545	6	6.5
Se	4	O	-2	1.80095	0.427	3	5.5
Se	4	Ox	-2	1.80095	0.427	3	5.5
Se	6	O	-2	1.79866	0.416	4	5.5
Se	6	Ox	-2	1.79866	0.416	4	5.5
Si	2	I	-1	2.32277	0.578	2	6.5
Si	4	As	-3	2.38772	0.34	3.66667	6
Si	4	F	-1	1.45654	0.529	6	5.5
Si	4	N	-3	1.71197	0.455	4	6
Si	4	O	-2	1.60817	0.432	4.1	5
Si	4	Ox	-2	1.60817	0.432	4.1	5
Si	4	P	-3	2.25666	0.404	4	6.5
Si	4	S	-2	2.09975	0.56	4	6.5
Si	4	Se	-2	2.23551	0.593	4	6.50 ! RCN estimated
Sm	3	F	-1	1.88844	0.441	8.42857	5.5
Sm	3	O	-2	2.01168	0.433	7.80952	5.5
Sm	3	Ox	-2	2.01168	0.433	7.80952	5.5
Sm	3	S	-2	2.4146	0.505	7.66667	6
Sm	3	Te	-2	2.71979	0.581	6	7
Sn	2	As	-3	2.3837	0.695	3	7
Sn	2	Br	-1	2.37369	0.501	7	6
Sn	2	Cl	-1	2.28757	0.461	5.8	5.5
Sn	2	F	-1	1.80141	0.467	7.448	6.00 ! RCN estimated
Sn	2	I	-1	2.54376	0.562	6.3	7
Sn	2	O	-2	1.87499	0.458	3.68	5.5
Sn	2	Ox	-2	1.87499	0.458	3.68	5.5
Sn	2	P	-3	2.29969	0.55	3	6.5
Sn	2	S	-2	2.32497	0.479	5.6	6
Sn	2	Sb	-3	2.5878	0.655	3	7
Sn	4	As	-3	2.58158	0.522	4	6.5
Sn	4	Cl	-1	2.17643	0.588	5.88889	6.5
Sn	4	F	-1	1.75558	0.461	6	5.5
Sn	4	N	-3	1.99361	0.449	6	6
Sn	4	O	-2	1.89019	0.379	6.06897	5
Sn	4	Ox	-2	1.89019	0.379	6.06897	5
Sn	4	P	-3	2.53739	0.523	4	6.5
Sn	4	S	-2	2.36256	0.492	5	6
Sn	4	Se	-2	2.50725	0.522	4.10526	6
Sn	4	Te	-2	2.73112	0.568	4	7
Sr	2	As	-3	2.51248	0.568	6.44444	8
Sr	2	Br	-1	2.29914	0.614	8.3333	7.00 ! RCN estimated
Sr	2	Cl	-1	2.20197	0.573	7	6.5
Sr	2	F	-1	1.86817	0.446	8.83	5.5
Sr	2	H	-1	1.81275	0.47	11.75	6
Sr	2	D	-1	1.81275	0.47	11.75	6
Sr	2	I	-1	2.46695	0.674	7.5	7.50 ! RCN estimated
Sr	2	N	-3	2.09477	0.544	6.42857	6.5
Sr	2	O	-2	1.95311	0.455	9.2	5.5
Sr	2	Ox	-2	1.95311	0.455	9.2	5.5
Sr	2	P	-3	2.37838	0.663	6.125	7.5
Sr	2	S	-2	2.26765	0.591	8.14815	7
Sr	2	Sb	-3	2.78795	0.518	7	8
Sr	2	Se	-2	2.36718	0.622	8	7
Sr	2	Te	-2	2.5405	0.668	7.5	7.00 ! RCN estimated
Ta	2	Te	-2	2.20689	0.593	5.25	6
Ta	3	F	-1	1.52314	0.555	6	6
Ta	4	O	-2	1.75632	0.546	5.5	6
Ta	4	Ox	-2	1.75632	0.546	5.5	6
Ta	4	S	-2	2.28935	0.41	5.66667	5.5
Ta	4	Se	-2	2.36128	0.422	6	6
Ta	5	Cl	-1	2.21442	0.604	6	6.5
Ta	5	F	-1	1.79011	0.477	6.4	5.5
Ta	5	N	-3	2.04124	0.39	4.66667	6
Ta	5	O	-2	1.86816	0.486	6.08989	5.5
Ta	5	Ox	-2	1.86816	0.486	6.08989	5.5
Ta	5	S	-2	2.24739	0.622	7.16667	6.5
Ta	5	Se	-2	2.51263	0.654	4	7
Ta	5	Te	-2	2.71824	0.699	4	7
Tb	3	Cl	-1	2.29526	0.486	8.5	6
Tb	3	F	-1	1.84041	0.442	8.66667	5.5
Tb	3	O	-2	1.95675	0.433	7.83333	5.5
Tb	3	Ox	-2	1.95675	0.433	7.83333	5.5
Tb	3	S	-2	2.36384	0.505	7.6	6
Tb	4	O	-2	1.96244	0.494	6	6
Tb	4	Ox	-2	1.96244	0.494	6	6
Tc	4	Cl	-1	2.15861	0.47	6	6
Tc	7	O	-2	1.96428	0.514	4	6
Tc	7	Ox	-2	1.96428	0.514	4	6
Te	2	O	-2	1.39168	0.612	2	6.5
Te	2	Ox	-2	1.39168	0.612	2	6.5
Te	4	Br	-1	2.46108	0.559	6	7
Te	4	Cl	-1	2.30563	0.518	5.9	6.5
Te	4	I	-1	2.67675	0.619	6	7.5
Te	4	O	-2	1.9529	0.401	3.54	5.5
Te	4	Ox	-2	1.9529	0.401	3.54	5.5
Te	6	O	-2	1.91343	0.412	6	5.5
Te	6	Ox	-2	1.91343	0.412	6	5.5
Th	4	F	-1	1.97374	0.477	8.94444	6
Th	4	O	-2	2.04895	0.486	8.85294	6
Th	4	Ox	-2	2.04895	0.486	8.85294	6
Th	4	S	-2	2.52909	0.5	8.66667	6.5
Th	4	Se	-2	2.5485	0.611	9	7.50 ! RCN estimated
Ti	2	Br	-1	2.15487	0.47	6	6
Ti	2	Cl	-1	2.03427	0.429	5.66667	5.5
Ti	3	Cl	-1	2.12747	0.459	6	6
Ti	3	F	-1	1.63066	0.468	6	5.5
Ti	3	O	-2	1.69766	0.46	6	5.5
Ti	3	Ox	-2	1.69766	0.46	6	5.5
Ti	3	S	-2	2.11813	0.478	6	6
Ti	4	As	-3	2.43821	0.77	4	7.5
Ti	4	Cl	-1	2.12577	0.507	6	6
Ti	4	F	-1	1.6617	0.449	6	5.5
Ti	4	H	-1	1.5689	0.469	6	5.50 ! Low accuracy
Ti	4	D	-1	1.5689	0.469	6	5.50 ! Low accuracy
Ti	4	O	-2	1.72394	0.503	5.98844	5.5
Ti	4	Ox	-2	1.72394	0.503	5.98844	5.5
Ti	4	P	-3	2.37492	0.67	4	6.5
Ti	4	S	-2	2.17452	0.64	5	7
Ti	4	Te	-2	2.41793	0.716	6	7.5
Tl	1	Br	-1	2.42772	0.477	8.2	6
Tl	1	Cl	-1	2.36792	0.436	8.375	6
Tl	1	F	-1	1.82737	0.491	9.625	6
Tl	1	I	-1	2.48689	0.537	8.06667	7
Tl	1	O	-2	1.89024	0.483	7.96923	6
Tl	1	Ox	-2	1.89024	0.483	7.96923	6
Tl	1	S	-2	2.3826	0.455	7.18	6
Tl	1	Sb	-3	2.40523	0.63	6.4	7.00 ! RCN estimated
Tl	1	Se	-2	2.39935	0.486	7.80645	6
Tl	1	Te	-2	2.50518	0.531	6.38	6
Tl	3	Br	-1	2.35992	0.555	4.5	6
Tl	3	Cl	-1	2.22567	0.514	5.77778	6
Tl	3	F	-1	1.85683	0.413	7	5.5
Tl	3	O	-2	2.06344	0.338	4.72222	5
Tl	3	Ox	-2	2.06344	0.338	4.72222	5
Tm	3	F	-1	1.81795	0.43	8	5.50 ! RCN estimated
Tm	3	O	-2	1.94901	0.421	6.79412	5.5
Tm	3	Ox	-2	1.94901	0.421	6.79412	5.5
Tm	3	S	-2	2.3107	0.516	6.3125	6
U	3	Cl	-1	2.38383	0.494	7.25	7
U	3	S	-2	2.26406	0.6	7.66667	7
U	4	Cl	-1	2.38148	0.535	7.33333	7
U	4	O	-2	2.04778	0.428	7.4	6
U	4	Ox	-2	2.04778	0.428	7.4	6
U	4	S	-2	2.45117	0.523	7.66667	7
U	4	Se	-2	2.44303	0.666	8.33333	7.5
U	5	Cl	-1	2.39076	0.55	6	7
U	5	O	-2	2.01142	0.494	6.54545	6
U	5	Ox	-2	2.01142	0.494	6.54545	6
U	6	Cl	-1	2.3859	0.66	6	7
U	6	O	-2	2.02317	0.527	7	6
U	6	Ox	-2	2.02317	0.527	7	6
V	2	Br	-1	2.10218	0.483	6	6
V	2	Cl	-1	2.03267	0.442	6	5.5
V	2	F	-1	1.53303	0.485	6	5.5
V	2	O	-2	1.59976	0.477	6	5.5
V	2	Ox	-2	1.59976	0.477	6	5.5
V	2	S	-2	1.89815	0.461	6	6
V	3	Cl	-1	2.06334	0.48	6	5.5
V	3	F	-1	1.61581	0.448	6	5.5
V	3	O	-2	1.67799	0.439	6	5.5
V	3	Ox	-2	1.67799	0.439	6	5.5
V	3	S	-2	2.02622	0.499	5.92	6.5
V	3	Se	-2	2.13686	0.53	6	6.5
V	4	F	-1	1.65629	0.43	6	5.00 ! RCN estimated
V	4	O	-2	1.74932	0.426	5.72619	5
V	4	Ox	-2	1.74932	0.426	5.72619	5
V	4	S	-2	2.16759	0.512	6	6.5
V	5	O	-2	1.79445	0.51	4.15	5.5
V	5	Ox	-2	1.79445	0.51	4.15	5.5
V	5	S	-2	2.29252	0.647	4	7
W	2	Br	-1	1.95717	0.647	5	7
W	3	Cl	-1	2.12237	0.428	5.66667	5
W	4	Br	-1	2.3517	0.439	6	6.5
W	4	O	-2	1.74558	0.52	6	6
W	4	Ox	-2	1.74558	0.52	6	6
W	4	S	-2	2.22267	0.417	6	6
W	5	Cl	-1	2.24489	0.42	6	6
W	5	O	-2	1.81975	0.498	6	6
W	5	Ox	-2	1.81975	0.498	6	6
W	6	Cl	-1	2.21497	0.617	6	7
W	6	O	-2	1.90641	0.401	5.68831	5
W	6	Ox	-2	1.90641	0.401	5.68831	5
Xe	2	F	-1	1.77407	0.569	2	6.5
Xe	4	F	-1	1.85567	0.529	4.14	6.5
Xe	6	F	-1	1.86157	0.431	5.46154	6
Y	3	Br	-1	2.40922	0.522	6	6.5
Y	3	Cl	-1	2.28867	0.483	6.4	6.5
Y	3	F	-1	1.89262	0.379	7.52941	5.5
Y	3	N	-3	1.94327	0.62	6	6.5
Y	3	O	-2	1.90384	0.478	7.28462	5.5
Y	3	Ox	-2	1.90384	0.478	7.28462	5.5
Y	3	S	-2	2.25923	0.615	6.41667	7
Yb	2	Cl	-1	2.29464	0.409	6.5	5.5
Yb	2	H	-1	1.57946	0.496	10	6
Yb	2	D	-1	1.57946	0.496	10	6
Yb	2	O	-2	1.63254	0.51	7	5.5
Yb	2	Ox	-2	1.63254	0.51	7	5.5
Yb	2	S	-2	2.40079	0.427	7.75	6
Yb	2	Se	-2	2.44047	0.458	6	7
Yb	3	F	-1	1.80974	0.435	7.5	5.5
Yb	3	O	-2	1.92872	0.426	6.86	5.5
Yb	3	Ox	-2	1.92872	0.426	6.86	5.5
Yb	3	S	-2	2.31245	0.511	6.125	6
Yb	3	Se	-2	2.42113	0.542	6	7
Zn	2	As	-3	1.8475	0.77	4.14286	7.5
Zn	2	Br	-1	1.98741	0.562	4	6
Zn	2	Cl	-1	1.88195	0.521	4	6
Zn	2	F	-1	1.57447	0.406	5.76923	5
Zn	2	I	-1	2.1528	0.622	4	6.5
Zn	2	O	-2	1.65344	0.403	4.71839	5
Zn	2	Ox	-2	1.65344	0.403	4.71839	5
Zn	2	P	-3	2.15297	0.44	3.76923	7
Zn	2	S	-2	1.94373	0.54	4.17391	6
Zn	2	Se	-2	2.00075	0.571	4	6
Zn	2	Te	-2	2.15126	0.616	4	7
Zr	2	Cl	-1	2.12072	0.478	5	6
Zr	2	H	-1	1.19798	0.582	8.14	6
Zr	2	D	-1	1.19798	0.582	8.14	6
Zr	2	I	-1	2.49296	0.424	6	5.5
Zr	3	I	-1	2.56625	0.472	6	6
Zr	4	Br	-1	2.32815	0.648	6	7
Zr	4	Cl	-1	2.18437	0.608	6	6.5
Zr	4	F	-1	1.83174	0.388	7.08333	5.5
Zr	4	N	-3	2.01042	0.57	5.5	6.5
Zr	4	O	-2	1.84505	0.49	6.76471	5.5
Zr	4	Ox	-2	1.84505	0.49	6.76471	5.5
Zr	4	S	-2	2.26265	0.626	6.33333	7
Sb	5	I	-1	2.59905	0.597	6	7.50 ! Low accuracy
Si	4	I	-1	2.32277	0.578	2	6.50 ! Low accuracy
